Unnamed: 0,question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
0,Torre,Médio,462.8460231740028,67017,0.02613663,NO CODE,0.0,0,0,0,0,0,33
1,Capitais,Difícil,210.64270098500128,25753,0.010043670000000001,AC,0.6706858899997314,38,0,0,0,0,38
2,Chocolate em barra,Fácil,15.479755460997694,3350,0.0013065000000000002,AC,0.0161215349944541,28,0,0,0,0,28
3,Fita Colorida,Médio,26.233949232002487,4948,0.0019297200000000002,AC,0.0172185050032567,31,0,0,0,0,31
4,Fila_2015,Difícil,193.053926898996,24327,0.009487530000000001,AC,5.13387220299046,30,0,0,0,0,30
5,Quebra-cabeça,Médio,33.89703433300019,5011,0.00195429,AC,0.1119573509931797,24,0,0,0,0,24
6,Prêmio do Milhão,Fácil,6.168674683998688,2028,0.0007909200000000001,AC,0.0219393900042632,20,0,0,0,0,20
7,Móbile_2015,Fácil,34.364260478003416,4893,0.00190827,AC,0.0341940389916999,30,0,0,0,0,30
8,Família real,Médio,94.80634742000257,12812,0.004996680000000001,AC,0.0105429539980832,15,0,0,0,0,15
9,Mina,Médio,31.60529178399884,4926,0.0019211400000000002,AC,0.1034954469942022,40,0,0,0,0,40
10,Cálculo,Médio,63.37960332300281,9467,0.00369213,AC,0.0104282249958487,29,0,0,0,0,29
11,Cobra coral,Fácil,177.65191071400477,21408,0.00834912,AC,0.0098006499902112,25,0,0,0,0,25
12,Letras,Médio,25.781509717999143,4639,0.0018092100000000001,AC,0.1554274860100122,64,0,0,0,0,64
13,Arquivos,Médio,20.046460233992548,3862,0.0015061800000000002,AC,0.1151612419926095,32,0,0,0,0,32
14,Código,Fácil,10.087423207995016,2443,0.00095277,AC,0.0182231579965446,28,0,0,0,0,28
